Curriculum,CONDENSED,,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
637633,"SE 131A","","","3318649628;32493104;3830990624",,,4,"",",SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27,SE27",
4919468,"UD LTGK /UD LTLA","","",,,,4,"",",CL25,CL25,CL25,CL25,CL25,CL25,CL25,CL25",
7180282,"NANO 102","","","4249881180",,,4,"",",NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25,NA25",
15573887,"ELECTIVE 1","","",,,,4,"",",AA25,AA25,AA25,AN26,AN26,AN26,AN26,AN26,AN26,AN27,AN27,AN27,AN27,AN27,AN27,AN28,AN28,AN28,AN28,AN28,AN28,AN29,AN29,AN29,AN29,AN29,AN30,AN30,AN30,AN30,AN30,BI30,BI30,BI30,BI30,BI30,BI31,BI31,BI31,BI32,BI32,BI32,BI34,BI34,BI35,BI35,BI37,BI37,BI38,BI38,CG25,CG25,CG25,CG25,CG25,CG29,CG29,CG29,CG29,CG29,CG31,CG31,CG31,CG31,CG31,CG32,CG32,CG32,CG32,CG32,CG32,CG33,CG33,CG33,CG33,CG33,CG34,CG34,CG34,CG34,CG34,CG35,CG35,CG35,CG35,CG35,CH25,CH25,CH25,CH25,CH34,CH34,CH34,CH34,CH35,CH36,CH36,CH36,CH38,CL25,CL25,CL25,CL25,CL25,CL25,CM26,CM26,CM26,CM26,CM26,CM26,CN25,CN25,CN25,CN25,CN25,CN25,CR25,CR25,CR25,CR25,CR25,CR25,CS26,CS26,CS26,CS26,DS25,DS25,DS25,ED25,ED25,ED25,ED25,ED25,ED25,EN25,EN25,EN25,EN25,EN25,EN25,EN28,EN28,EN28,EN28,EN28,EN28,EN30,EN30,EN30,EN30,EN30,EN30,ES25,ES25,ES25,ES25,ES25,ES26,ES26,ES26,ES26,ES26,ES27,ES27,ES27,ES28,ES28,ES28,ES28,ES28,ET25,ET25,ET25,ET25,ET25,ET25,GH25,GH25,GH25,GH25,GH25,GH25,GH26,GH26,GH26,GH26,GH26,GL25,GL25,GL25,GL25,GL25,GL25,GS25,GS25,GS25,GS25,GS25,GS25,HI25,HI25,HI25,HI25,HI25,HI25,HS25,HS25,HS25,HS25,HS25,HS26,HS26,HS26,HS26,HS26,HS27,HS27,HS27,HS27,HS27,HS27,HS28,HS28,HS28,HS28,HS28,HS28,IS25,IS25,IS25,IS25,IS25,IS25,IS26,IS26,IS26,IS26,IS27,IS27,IS27,IS27,IS27,IS27,IS28,IS28,IS28,IS28,IS28,IS28,IS29,IS29,IS29,IS29,IS29,IS29,IS30,IS30,IS30,IS30,IS30,IS30,IS31,IS31,IS31,IS31,IS31,IS31,IS34,IS34,IS34,IS34,IS36,IS36,IS36,IS36,IS36,IS36,IT25,IT25,IT25,IT25,IT25,IT25,JA25,JA25,JA25,JA25,JA25,JS25,JS25,JS25,JS25,JS25,JS25,LA25,LA25,LA25,LA25,LA25,LA25,LA26,LA26,LA26,LA26,LA26,LA26,LA27,LA27,LA27,LA27,LA27,LA27,LN25,LN25,LN25,LN25,LN25,LN25,LN29,LN29,LN29,LN29,LN29,LN29,LN32,LN32,LN32,LN32,LN32,LN32,LN33,LN33,LN33,LN33,LN33,LN33,LN34,LN34,LN34,LN34,LN34,LN34,LT33,LT33,LT33,LT33,LT33,LT34,LT34,LT34,LT34,LT36,LT36,LT36,LT36,LT41,LT41,LT41,LT41,LT41,MA27,MA27,MA27,MA27,MA27,MA29,MA29,MA29,MA29,MA29,MA30,MA30,MA30,MA30,MA31,MA31,MA31,MA31,MA31,MA32,MA32,MA32,MA32,MA32,MA33,MA33,MA33,MA33,MA33,MA35,MA35,MA35,MA35,MA35,MU25,MU25,MU25,MU25,MU26,MU26,MU26,MU26,MU27,MU27,MU27,MU27,PB25,PB25,PB25,PB25,PB26,PB26,PB27,PB27,PB27,PB27,PB28,PB28,PB28,PB28,PB29,PB29,PB29,PB29,PB29,PB30,PB30,PB30,PB30,PB30,PB31,PB31,PB31,PB31,PC25,PC25,PC25,PC25,PC25,PC25,PC26,PC26,PC26,PC26,PC26,PC26,PC28,PC28,PC28,PC28,PC28,PC28,PC29,PC29,PC29,PC29,PC29,PC29,PC30,PC30,PC30,PC30,PC30,PC30,PC31,PC31,PC31,PC31,PC31,PC31,PC32,PC32,PC32,PC32,PC32,PC32,PC33,PC33,PC33,PC33,PC33,PC33,PC34,PC34,PC34,PC34,PC34,PC34,PC35,PC35,PC35,PC35,PC35,PC35,PL25,PL25,PL25,PL25,PL25,PS25,PS25,PS25,PS25,PS25,PS25,PS26,PS26,PS26,PS26,PS26,PS26,PS27,PS27,PS27,PS27,PS27,PS27,PS28,PS28,PS28,PS28,PS28,PS28,PS29,PS29,PS29,PS29,PS29,PS29,PS30,PS30,PS30,PS30,PS30,PS30,PS31,PS31,PS31,PS31,PS31,PS32,PS32,PS32,PS32,PS32,PS34,PS34,PS34,PS34,PS34,PY28,PY28,PY29,PY29,PY30,PY30,PY30,PY31,PY31,PY31,PY32,PY32,PY32,PY33,PY33,PY33,PY34,PY34,PY34,RE26,RE26,RE26,RE26,RE26,RE26,RU26,RU26,RU26,RU26,RU26,SI29,SI29,SI29,SI30,SI30,SI30,SI30,SI31,SI31,SI31,SI31,SI31,SO25,SO25,SO25,SO25,SO25,SO25,SO27,SO27,SO27,SO27,SO27,SO27,SO28,SO28,SO28,SO28,SO28,SO28,SO29,SO29,SO29,SO29,SO29,SO29,SO30,SO30,SO30,SO30,SO30,SO30,SO31,SO31,SO31,SO31,SO31,SO31,SO32,SO32,SO32,SO32,SO32,SO32,SO33,SO33,SO33,SO33,SO33,SO33,TH26,TH26,TH26,TH26,TH26,TH27,TH27,TH27,TH27,TH27,UN27,UNHA,UNPS,UNSS,US26,US26,US26,US26,US26,US26,US27,US27,US27,US27,US27,VA26,VA26,VA26,VA26,VA26,VA27,VA27,VA27,VA27,VA27,VA28,VA28,VA28,VA28,VA28,VA28,VA29,VA29,VA29,VA29,VA29,VA30,VA30,VA30,VA30,VA30,VA30",
18668587,"LD Major Prep 2","","",,,,4,"",",HS25,HS25,HS25,HS25,HS25,HS25,HS25,HS26,HS26,HS26,HS26,HS26,HS26,HS26,HS27,HS27,HS27,HS27,HS27,HS27,HS27,HS28,HS28,HS28,HS28,HS28,HS28,HS28",
19605639,"UD GH Core Course 4","","",,,,4,"",",GH25,GH25,GH25,GH25,GH25,GH25,GH25,GH25,GH26,GH26,GH26,GH26,GH26,GH26,GH26,GH26",
19879669,"ESYS MAJOR ELECTIVE 1","","",,,,4,"",",ES25,ES25,ES25,ES25,ES25,ES25,ES25,ES25,ES26,ES26,ES26,ES26,ES26,ES26,ES26,ES26,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES27,ES28,ES28,ES28,ES28,ES28,ES28,ES28,ES28",
20231241,"MAE 175A","","","2250458268;2736978934;2377833625",,,4,"",",MC25,MC25,MC25,MC25,MC25,MC25,MC25,MC25",
22480640,"ELECTIVE 9","","",,,,4,"",",AA25,AA25,AN26,AN26,AN26,AN26,AN26,AN27,AN27,AN27,AN27,AN27,AN28,AN28,AN28,AN28,AN28,AN29,AN29,AN29,AN29,AN30,AN30,AN30,AN30,CG25,CG29,CG31,CG32,CG32,CG32,CG33,CG34,CG35,CL25,CL25,CM26,CM26,CM26,CM26,CM26,CN25,CN25,CN25,CN25,CN25,CR25,CR25,CR25,CR25,CR25,ED25,ED25,ED25,ED25,ED25,EN25,EN25,EN25,EN25,EN25,EN28,EN28,EN28,EN30,EN30,EN30,ES26,ES28,ES28,ET25,ET25,ET25,ET25,ET25,GH25,GH25,GH25,GH25,GH25,GH26,GL25,GL25,GL25,GL25,GL25,GS25,GS25,GS25,HI25,HI25,HI25,HI25,HI25,HS25,HS25,HS25,HS25,HS26,HS26,HS26,HS27,HS27,HS27,HS28,HS28,HS28,IS25,IS25,IS27,IS28,IS29,IS30,IS36,IT25,IT25,IT25,IT25,JS25,JS25,JS25,JS25,JS25,JS25,LA25,LA25,LA25,LA25,LA26,LA26,LA26,LA26,LA26,LA27,LA27,LA27,LA27,LN25,LN25,LN25,LN25,LN25,LN29,LN29,LN29,LN29,LN29,LN32,LN32,LN32,LN32,LN32,LN33,LN33,LN33,LN34,LN34,LN34,LN34,LN34,LT33,LT33,MA27,MA27,MA27,MA29,MA29,MA29,MA29,MA31,MA31,MA32,MA32,MA32,MA32,MA33,MA33,MA35,MA35,MU26,MU27,MU27,PB25,PB25,PB28,PB28,PB29,PB29,PB29,PB30,PB30,PB30,PC25,PC25,PC25,PC25,PC25,PC26,PC26,PC26,PC26,PC28,PC28,PC28,PC28,PC29,PC29,PC29,PC29,PC30,PC30,PC30,PC30,PC31,PC31,PC31,PC31,PC32,PC32,PC32,PC32,PC33,PC33,PC33,PC33,PC34,PC34,PC35,PC35,PC35,PL25,PL25,PL25,PL25,PS25,PS25,PS25,PS25,PS25,PS26,PS26,PS26,PS26,PS26,PS27,PS27,PS27,PS27,PS27,PS28,PS28,PS28,PS28,PS28,PS29,PS29,PS29,PS29,PS29,PS30,PS30,PS30,PS30,PS30,PS31,PS31,PS31,PS31,PS32,PS32,PS32,PS32,PS34,PS34,PS34,PS34,RE26,RE26,RE26,RE26,RE26,RU26,RU26,RU26,RU26,SO25,SO25,SO25,SO25,SO25,SO27,SO27,SO27,SO27,SO27,SO28,SO28,SO28,SO28,SO29,SO29,SO29,SO29,SO29,SO30,SO30,SO30,SO30,SO30,SO31,SO31,SO31,SO31,SO31,SO32,SO32,SO32,SO32,SO32,SO33,SO33,SO33,SO33,SO33,TH26,TH27,TH27,US26,US26,US26,US26,US27,US27,VA26,VA26,VA26,VA27,VA27,VA27,VA28,VA28,VA28,VA28,VA28,VA29,VA29,VA29,VA29,VA30,VA30",
26264068,"MUS 120A","","","2731646793;1000149118",,,4,"",",MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU25,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26,MU26",
